original_food_id,original_food_name,food_genus_id,food_genus_description,food_group,food_subgroup,food_genus_confidence,fct_name,data_reference_original_id,moisture_in_g,energy_in_kcal,energy_in_kj,nitrogen_in_g,totalprotein_in_g,totalfats_in_g,saturatedfa_in_g,monounsaturatedfa_in_g,polyunsaturatedfa_in_g,cholesterol_in_mg,carbohydrates_in_g,fibre_in_g,ash_in_g,ca_in_mg,fe_in_mg,mg_in_mg,p_in_mg,k_in_mg,na_in_mg,zn_in_mg,cu_in_mg,mn_in_mcg,i_in_mcg,se_in_mcg,vitamina_in_rae_in_mcg,thiamin_in_mg,riboflavin_in_mg,niacin_in_mg,vitaminb6_in_mg,folicacid_in_mcg,folate_in_mcg,vitaminb12_in_mcg,pantothenate_in_mg,biotin_in_mcg,vitaminc_in_mg,vitamind_in_mcg,vitamine_in_mg,phyticacid_in_mg,region
NA,Bovine Meat,21111.02.01,"beef, without bones, fresh, raw",Animal Products,bovine meat and products,m,regional-SSA-fct,NA,NA,323,NA,NA,24.9,24,NA,NA,NA,NA,0,0,NA,4,1.7,23,NA,NA,NA,4.1,0.1,NA,1,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,E
NA,"Butter, Ghee",22241.02.01,ghee,Animal Products,"butter, ghee and products",m,regional-SSA-fct,NA,NA,876,NA,NA,0.3,99.5,NA,NA,NA,NA,0,0,NA,8,0.1,1,NA,NA,NA,0,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,E
NA,Cassava,01520.01.01,"cassava root, raw",Roots and Tubers,cassava and products,h,regional-SSA-fct,NA,NA,160,NA,NA,1.4,0.3,NA,NA,NA,NA,38.1,1.8,NA,16,0.3,21,NA,NA,NA,0.3,0.1,NA,0.88,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,54,E
NA,Cephalopods,1570.01,"squids, raw",Animal Products,cephalopods,m,regional-SSA-fct,NA,NA,92,NA,NA,16,1,NA,NA,NA,NA,3,0,NA,32,0.68,33,NA,NA,NA,1.53,1.9,NA,20,44.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,E
NA,"Cereals, Other",1193.03,"fonio grain, white, unrefined, raw",Cereals,"cereals, other and products",l,regional-SSA-fct,NA,NA,339,NA,NA,13.7,1.9,NA,NA,NA,NA,60.4,12.2,NA,15,1.2,22,NA,NA,NA,0.7,0.1,NA,10,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,282,E
NA,"Citrus, Other",1323.01,"oranges, raw",Fruits and Vegetables,"oranges, mandarines and products",l,regional-SSA-fct,NA,NA,47,NA,NA,0.9,0.1,NA,NA,NA,NA,9.4,2.4,NA,40,0.1,10,NA,NA,NA,0.1,0.1,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,E
NA,"Citrus, Other",1323.01,"oranges, raw",Fruits and Vegetables,"oranges, mandarines and products",m,regional-SSA-fct,NA,NA,47,NA,NA,0.9,0.1,NA,NA,NA,NA,9.4,2.4,NA,40,0.1,10,NA,NA,NA,0.1,0.1,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,E
NA,Cloves,1656.01,cloves,Other foods,cloves and products,h,regional-SSA-fct,NA,NA,323,NA,NA,5.98,20.07,NA,NA,NA,NA,27.01,34.2,NA,646,8.7,264,NA,NA,NA,1.1,0.3,NA,0,5.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,E
NA,Cocoa Beans,F0665.01,cocoa powder,Other foods,cocoa beans and products,m,regional-SSA-fct,NA,NA,363.049713,NA,NA,18.5,21.7,NA,NA,NA,NA,11.5,12.1,NA,130,10.5,520,NA,NA,NA,6.9,3.9,NA,0,14.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,E
NA,Coconut Oil,2166.01,coconut oil,Other foods,coconut oil and products,h,regional-SSA-fct,NA,NA,862,NA,NA,0,100,NA,NA,NA,NA,0,0,NA,0,0,0,NA,NA,NA,0,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,E
NA,Coconuts - Incl Copra,1460.01,coconuts,Other foods,coconuts (including copra) and products,h,regional-SSA-fct,NA,NA,354,NA,NA,3.3,33.5,NA,NA,NA,NA,6.2,9,NA,14,2.4,32,NA,NA,NA,1.1,0.4,NA,1,10.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,324,E
NA,Coffee,23912.02.01,"coffee, instant powder",Other foods,coffee and products,h,regional-SSA-fct,NA,NA,2.151051,NA,NA,0.1,0,NA,NA,NA,NA,0.4,0,NA,2,0.1,5,NA,NA,NA,0.02,0.01,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,E
NA,Cottonseed Oil,2168.01,cotton seed oil,Other foods,cottonseed oil and products,h,regional-SSA-fct,NA,NA,884.321223,NA,NA,0,100,NA,NA,NA,NA,0,0,NA,0,0,0,NA,NA,NA,0,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,E
NA,Cream,22120.01,cream,Animal Products,cream and products,h,regional-SSA-fct,NA,NA,245.458891,NA,NA,2.5,25,NA,NA,NA,NA,3.5,0,NA,90,0,8,NA,NA,NA,0.26,0.01,NA,35,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,E
NA,Crustaceans,1553.01,"crab, fresh, raw",Animal Products,crustaceans,m,regional-SSA-fct,NA,NA,97.992351,NA,NA,20.2,1.8,NA,NA,NA,NA,0,0,NA,3292,2.5,259,NA,NA,NA,2.8,0.65,NA,100,37.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,E
NA,Dates,1314.01,dates,Fruits and Vegetables,dates and products,h,regional-SSA-fct,NA,NA,145.076481,NA,NA,1.5,0.1,NA,NA,NA,NA,31.3,2.7,NA,24,0.3,24,NA,NA,NA,0.2,0.12,NA,0,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,E
NA,Demersal Fish,1518.01,"haddock, smoked, raw",Animal Products,demersal fish,l,regional-SSA-fct,NA,NA,98,NA,NA,18.1,2.4,NA,NA,NA,NA,0,0,NA,7,0.3,21,NA,NA,NA,0.3,0,NA,140,36.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,E
NA,Eggs,231.01,"egg, chicken, raw",Animal Products,eggs and products,h,regional-SSA-fct,NA,NA,155,NA,NA,12.6,10.6,NA,NA,NA,NA,1.1,0,NA,50,1.2,10,NA,NA,NA,1.1,0,NA,53,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,E
NA,"Fats, Animals, Raw",21521.01,pork lard,Animal Products,"fats, animals, raw and products",m,regional-SSA-fct,NA,NA,884.321223,NA,NA,0,100,NA,NA,NA,NA,0,0,NA,0,0,0,NA,NA,NA,0.11,0,NA,0,0.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,E
NA,"Fish, Body Oil",1522.01,"cod, body, oil",Animal Products,"fish, body oil",l,regional-SSA-fct,NA,NA,884.321223,NA,NA,0,100,NA,NA,NA,NA,0,0,NA,0,0,0,NA,NA,NA,0,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,E
NA,"Fish, Liver Oil",1523.01,"cod, liver oil",Animal Products,"fish, liver oil",l,regional-SSA-fct,NA,NA,884,NA,NA,0,100,NA,NA,NA,NA,0,0,NA,0,0,0,NA,NA,NA,0,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,E
NA,"Fish, Liver Oil",1523.01,"cod, liver oil",Animal Products,"fish, liver oil",m,regional-SSA-fct,NA,NA,884,NA,NA,0,100,NA,NA,NA,NA,0,0,NA,0,0,0,NA,NA,NA,0,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,E
NA,Freshwater Fish,1501.01,"trout, rainbow, fresh, raw",Animal Products,freshwater fish,l,regional-SSA-fct,NA,NA,98,NA,NA,18.1,2.4,NA,NA,NA,NA,0,0,NA,2360,0.3,175,NA,NA,NA,0.3,0,NA,11,11.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,E
NA,"Fruits, Other",1316.01,"mangoes, raw",Fruits and Vegetables,"fruits, other and products",m,regional-SSA-fct,NA,NA,65,NA,NA,0.5,0.3,NA,NA,NA,NA,15.2,1.8,NA,10,0.1,9,NA,NA,NA,0,0.1,NA,2,0.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20,E
NA,Grapefruit,1321.02,"grapefruits, raw",Fruits and Vegetables,grapefruit and products,h,regional-SSA-fct,NA,NA,33,NA,NA,0.7,0.1,NA,NA,NA,NA,7.3,1.1,NA,12,0.06,9,NA,NA,NA,0.07,0.05,NA,2,0.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,E
NA,Grapes,1330.01,"grapes, raw",Fruits and Vegetables,grapes and products (excludingexcl wine) and products,h,regional-SSA-fct,NA,NA,55,NA,NA,0.2,0.4,NA,NA,NA,NA,11.7,2.5,NA,7,0.2,5,NA,NA,NA,0,0,NA,1,0.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,59,E
NA,Groundnut Oil,2162.01,peanut oil,Pulses and Beans,groundnut oil and products,h,regional-SSA-fct,NA,NA,884.321223,NA,NA,0,100,NA,NA,NA,NA,0,0,NA,0,0,0,NA,NA,NA,0.01,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,E
NA,Groundnuts (Shelled Eq),142.01,"peanut, unshelled",Pulses and Beans,groundnuts (shelled eq) and products,h,regional-SSA-fct,NA,NA,567,NA,NA,25.8,49.2,NA,NA,NA,NA,7.6,8.5,NA,92,4.6,168,NA,NA,NA,3.3,1.1,NA,20,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1760,E
NA,Honey,2910.01,honey,Other foods,honey and products,h,regional-SSA-fct,NA,NA,304,NA,NA,0.3,0,NA,NA,NA,NA,82.4,0,NA,6,0.4,2,NA,NA,NA,0.2,0,NA,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,E
NA,"Lemons, Limes",1322.01,"lemons, raw",Fruits and Vegetables,"lemons, limes and products",m,regional-SSA-fct,NA,NA,29,NA,NA,1.1,0.3,NA,NA,NA,NA,6.5,2.8,NA,26,0.6,8,NA,NA,NA,0.1,0,NA,2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,E
NA,Maize,112.01,"maize, grain, white, dried, raw",Cereals,maize and products (including white maize),m,regional-SSA-fct,NA,NA,362,NA,NA,8.1,3.6,NA,NA,NA,NA,69.6,7.3,NA,6,3.5,127,NA,NA,NA,1.8,0.2,NA,3,2.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,800,E
NA,Maize Germ Oil,21691.02.01,maize oil,Cereals,maize germ oil and products,h,regional-SSA-fct,NA,NA,884.321223,NA,NA,0,100,NA,NA,NA,NA,0,0,NA,0,0,0,NA,NA,NA,0,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,E
NA,"Marine Fish, Other",1532.01,"sardines, tinned",Animal Products,pelagic fish,l,regional-SSA-fct,NA,NA,98,NA,NA,18.1,2.4,NA,NA,NA,NA,0,0,NA,7,0.3,21,NA,NA,NA,0.3,0,NA,32,36.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,E
NA,"Meat, Aquatic Mammals",1580.01,"marine mammals meat, fresh, raw",Animal Products,"meat, aquatic mammals",m,regional-SSA-fct,NA,NA,111,NA,NA,26.5,0.5,NA,NA,NA,NA,0,0,NA,7,0.3,21,NA,NA,NA,0.3,0,NA,32,36.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,E
NA,"Meat, Other",21170.92.01,"deer meat, fresh, raw",Animal Products,"meat, other and products",m,regional-SSA-fct,NA,NA,151.051625,NA,NA,30.2,3.2,NA,NA,NA,NA,0,0,NA,7,4.5,24,NA,NA,NA,2.75,0.3,NA,1,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,E
NA,Milk - Excluding Butter,2211.01,"milk, cow, whole, raw",Animal Products,milk - (excluding excluding butter butter) and products,m,regional-SSA-fct,NA,NA,60,NA,NA,3.2,3.3,NA,NA,NA,NA,4.5,0,NA,115,0.1,11,NA,NA,NA,0.4,0,NA,3,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,E
NA,Millet,118.02,"finger millet,  grain",Cereals,millet and products,m,regional-SSA-fct,NA,NA,328,NA,NA,6.6,1.3,NA,NA,NA,NA,62.8,13.4,NA,275,2.7,27,NA,NA,NA,1.2,0.5,NA,10,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,520,E
NA,"Molluscs, Other",1562.01,"oysters, fresh, raw",Animal Products,"molluscs, other",m,regional-SSA-fct,NA,NA,66.921606,NA,NA,7.1,2.5,NA,NA,NA,NA,3.9,0,NA,45,6.7,54,NA,NA,NA,90.95,4.46,NA,0,27.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,E
NA,Mutton & Goat Meat,21116.01,"goat meat, fresh, raw",Animal Products,mutton & and goat meat and products,m,regional-SSA-fct,NA,NA,269,NA,NA,24.9,18,NA,NA,NA,NA,0,0,NA,4,1.7,23,NA,NA,NA,4.1,0.1,NA,6,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,E
NA,Nuts,1372.01,cashew nuts,Other foods,nuts and products,m,regional-SSA-fct,NA,NA,589,NA,NA,20,52.2,NA,NA,NA,NA,9.5,10.9,NA,266,3.7,296,NA,NA,NA,2.9,0.9,NA,10,24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2580,E
NA,Oats,23140.07.01,"oats, rolled",Cereals,oats and products,h,regional-SSA-fct,NA,NA,427.10325,NA,NA,10.7,10.4,NA,NA,NA,NA,61.6,1.6,NA,54,4.4,153,NA,NA,NA,3.18,0.36,NA,10,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,282,E
NA,"Offals, Edible",21151.01,"beef offal, fresh, raw",Animal Products,"offals, edible and products",m,regional-SSA-fct,NA,NA,83,NA,NA,14.5,2.4,NA,NA,NA,NA,0,0,NA,3,1,14,NA,NA,NA,2.4,0.1,NA,5,40,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,E
NA,"Oilcrops Oil, Other",34550.01,"vegetable, oil",Other foods,"oilcrops oil, other and products",l,regional-SSA-fct,NA,NA,862,NA,NA,0,100,NA,NA,NA,NA,0,0,NA,0,0,0,NA,NA,NA,0,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,E
NA,"Oilcrops, Other",1441.01,linseeds,Other foods,"oilcrops, other and products",m,regional-SSA-fct,NA,NA,531.548757,NA,NA,17.5,36.9,NA,NA,NA,NA,3.5,29.5,NA,250,44.2,346,NA,NA,NA,8.24,3.88,NA,0,1.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4710,E
NA,Olive Oil,2167.01,olive oil,Other foods,olive oil and products,h,regional-SSA-fct,NA,NA,884.321223,NA,NA,0,100,NA,NA,NA,NA,0,0,NA,1,0.4,0,NA,NA,NA,0.06,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,E
NA,Olives,F0262.01,"olives, preserved",Fruits and Vegetables,olives (including preserved) and products,h,regional-SSA-fct,NA,NA,123.565965,NA,NA,0.8,10.7,NA,NA,NA,NA,3.1,3.2,NA,88,3.3,4,NA,NA,NA,0.22,0.25,NA,0,0.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,E
NA,Onions,1253.02.01,"onions, raw",Fruits and Vegetables,onions and products,h,regional-SSA-fct,NA,NA,40,NA,NA,1.3,0.2,NA,NA,NA,NA,7.9,1.3,NA,23,0.2,10,NA,NA,NA,0.2,0,NA,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,E
NA,"Oranges, Mandarines",1323.01,"oranges, raw",Fruits and Vegetables,"oranges, mandarines and products",l,regional-SSA-fct,NA,NA,47,NA,NA,0.9,0.1,NA,NA,NA,NA,9.4,2.4,NA,40,0.1,10,NA,NA,NA,0.1,0.1,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,E
NA,"Oranges, Mandarines",1323.01,"oranges, raw",Fruits and Vegetables,"oranges, mandarines and products",m,regional-SSA-fct,NA,NA,47,NA,NA,0.9,0.1,NA,NA,NA,NA,9.4,2.4,NA,40,0.1,10,NA,NA,NA,0.1,0.1,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,E
NA,Palm Oil,2165.01,palm oil,Other foods,palm oil and products,h,regional-SSA-fct,NA,NA,862,NA,NA,0,100,NA,NA,NA,NA,0,0,NA,6,0,0,NA,NA,NA,0,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,E
NA,Palmkernel Oil,21691.14.01,palm kernel oil,Other foods,palmkernel oil and products,h,regional-SSA-fct,NA,NA,884.321223,NA,NA,0,100,NA,NA,NA,NA,0,0,NA,6,0,0,NA,NA,NA,0,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,E
NA,Peas,1705.01,"peas, dried, raw",Pulses and Beans,peas and products,l,regional-SSA-fct,NA,NA,84,NA,NA,5.4,0.2,NA,NA,NA,NA,10.1,5.5,NA,27,1.5,39,NA,NA,NA,1.2,0.2,NA,2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,28,E
NA,Pelagic Fish,1527.01,"mackerel, fresh, raw",Animal Products,pelagic fish,l,regional-SSA-fct,NA,NA,98,NA,NA,18.1,2.4,NA,NA,NA,NA,0,0,NA,7,0.3,21,NA,NA,NA,0.3,0,NA,32,37,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,E
NA,Pepper,1651.01,"pepper, black",Other foods,pepper and products,h,regional-SSA-fct,NA,NA,336.759082,NA,NA,10.9,3.3,NA,NA,NA,NA,38.3,26.5,NA,437,28.9,194,NA,NA,NA,1.42,1.13,NA,0,3.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,E
NA,Pigmeat,21113.02.01,"pig meat, without bones, fresh, raw",Animal Products,pigmeat and products,m,regional-SSA-fct,NA,NA,537,NA,NA,19.6,50.2,NA,NA,NA,NA,0,0,NA,18,0.8,17,NA,NA,NA,2.1,0.1,NA,1,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,E
NA,Pimento,1652.02,"peppers, dried, raw",Fruits and Vegetables,pimento and products,h,regional-SSA-fct,NA,NA,27,NA,NA,1,0.3,NA,NA,NA,NA,4.1,1.7,NA,9,0.4,11,NA,NA,NA,0.1,0.4,NA,1,0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,35,E
NA,Pineapples,1318.01,"pineapple, raw",Fruits and Vegetables,pineapples and products,h,regional-SSA-fct,NA,NA,48,NA,NA,0.5,0.1,NA,NA,NA,NA,11.2,1.4,NA,7,0.4,14,NA,NA,NA,0.1,0.1,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,E
NA,Plantains,1313.01,"plantain, raw",Fruits and Vegetables,plantains and products,h,regional-SSA-fct,NA,NA,149,NA,NA,1.1,0.3,NA,NA,NA,NA,34.3,2.3,NA,7,1.1,37,NA,NA,NA,0.1,0.08,NA,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,E
NA,Potatoes,1510.01,"potatoes, raw",Roots and Tubers,potatoes and products,h,regional-SSA-fct,NA,NA,58,NA,NA,2.6,0.1,NA,NA,NA,NA,12.4,2.5,NA,30,3.2,23,NA,NA,NA,0.4,0.4,NA,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,147,E
NA,Poultry Meat,21121.01,"chicken meat, fresh, raw",Animal Products,poultry meat and products,m,regional-SSA-fct,NA,NA,200,NA,NA,18.8,13.2,NA,NA,NA,NA,0,0,NA,9,1,14,NA,NA,NA,1.3,0.1,NA,0,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,E
NA,"Pulses, Other",1707.01,"pigeon peas, dried, raw",Pulses and Beans,"pulses, other and products",m,regional-SSA-fct,NA,NA,343,NA,NA,21.7,1.5,NA,NA,NA,NA,62.8,15,NA,104,4.4,125,NA,NA,NA,2.9,0.8,NA,0,6.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1154,E
NA,Rape and Mustard Oil,21641.01.01,rape seed oil,Other foods,rape and mustard oil and products,l,regional-SSA-fct,NA,NA,862,NA,NA,0,100,NA,NA,NA,NA,0,0,NA,0,0,0,NA,NA,NA,0,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,E
NA,Rice (Milled Equivalent),23161.01.01,"rice grain, white, raw",Cereals,rice and products,m,regional-SSA-fct,NA,NA,358,NA,NA,6.5,0.5,NA,NA,NA,NA,79.8,0.8,NA,8,0.6,36,NA,NA,NA,1.1,0.1,NA,8,2.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,352,E
NA,Rice (Milled Equivalent),23161.02.01,"rice grain, white, raw",Cereals,rice and products,m,regional-SSA-fct,NA,NA,358,NA,NA,6.5,0.5,NA,NA,NA,NA,79.8,0.8,NA,8,0.6,36,NA,NA,NA,1.1,0.1,NA,8,2.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,352,E
NA,Ricebran Oil,21691.01.01,"rice bran, oil",Cereals,ricebran oil and products,h,regional-SSA-fct,NA,NA,862,NA,NA,0,100,NA,NA,NA,NA,0,0,NA,0,0,0,NA,NA,NA,0,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,E
NA,"Roots, Other",1550.01,"taros, raw",Roots and Tubers,"roots, other and products",m,regional-SSA-fct,NA,NA,112,NA,NA,1.5,0.2,NA,NA,NA,NA,22.4,4.1,NA,43,0.1,33,NA,NA,NA,0.2,0.2,NA,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,78,E
NA,Rye,116.01,"rye grain, unrefined, raw ",Cereals,rye and products,l,regional-SSA-fct,NA,NA,339,NA,NA,13.7,1.9,NA,NA,NA,NA,60.4,12.2,NA,15,1.2,22,NA,NA,NA,0.7,0.1,NA,10,35.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,282,E
