"ID_0","FoodName_0","ID_1","FoodName_1","ID_2","FoodName_2","ID_3","FE2_3","FoodName_3","Description1","Desc1.ref","Description2","scientific_name","V14","V15","Desc1.ref2"
"CE","Cereals","2511","wheat and products","111","wheat","111.01","A001N#F10.A06HR","wheat grain, unrefined","","","",NA,NA,NA,NA
"CE","Cereals","2511","wheat and products","111","wheat","111.02","A001N#F10.A07XK","wheat grain, refined","","","",NA,NA,NA,NA
"CE","Cereals","2511","wheat and products","23110","wheat and meslin flour","23110.01","A004B#F02.A067Z$F27.A001M$F28.A0C0A$F10.A06HR$F03.A06JD","wheat flour, unrefined","Flour of Wheat: Defined broadly to include meal, groats and pellets. Strong flours from hard wheat are used for bread, while durum wheat flour is used primarily for pasta. Weaker flours from soft wheat are mainly used in cakes, pastries, biscuits and certain noodles.","FAOSTAT Commodity List (FCL)","",NA,NA,NA,NA
"CE","Cereals","2511","wheat and products","23110","wheat and meslin flour","23110.02","A003Y#F02.A067Z$F27.A001M$F28.A0C0A$F10.A07XK$F03.A06JD","wheat flour, refined","Flour of Wheat: Defined broadly to include meal, groats and pellets. Strong flours from hard wheat are used for bread, while durum wheat flour is used primarily for pasta. Weaker flours from soft wheat are mainly used in cakes, pastries, biscuits and certain noodles.","FAOSTAT Commodity List (FCL)","",NA,NA,NA,NA
"CE","Cereals","2511","wheat and products","23180","mixes and doughs for the preparation of bakers' wares","","","","","","",NA,NA,NA,NA
"CE","Cereals","2511","wheat and products","23710","uncooked pasta, not stuffed or otherwise prepared","23710.01","A007L#F28.A07HS","pasta, dried, raw","default pasta (spaghetti)","","",NA,NA,NA,NA
"CE","Cereals","2511","wheat and products","23140.01","germ of wheat [only calories)","","","","","","",NA,NA,NA,NA
"CE","Cereals","2511","wheat and products","23140.02","bulgur","","","","","","",NA,NA,NA,NA
"CE","Cereals","2511","wheat and products","23140.03","breakfast cereals","23140.03.01","A00EM#F02.A068E$F27.A000L$F28.A07LG","breakfast cereal, flakes","","","",NA,NA,NA,NA
"CE","Cereals","2511","wheat and products","23140.03","breakfast cereals","23140.03.02","A00EL#F02.A06DZ$F04.A000L","breakfast cereals, muesli mix","","","",NA,NA,NA,NA
"CE","Cereals","2511","wheat and products","23220.01","starch of wheat","","","","","","",NA,NA,NA,NA
"CE","Cereals","2511","wheat and products","23220.02","wheat gluten [only calories]","","","","","","",NA,NA,NA,NA
"CE","Cereals","2511","wheat and products","23490.01","communion wafers, empty cachets of a kind suitable for pharmaceutical use, sealing wafers, rice paper and similar products.","","","","","","",NA,NA,NA,NA
"CE","Cereals","2511","wheat and products","23999.02","food preparations of flour, meal or malt extract","","","","","","",NA,NA,NA,NA
"CE","Cereals","2511","wheat and products","39120.01","bran of wheat [only calories]","","","","","","",NA,NA,NA,NA
"CE","Cereals","2511","wheat and products","F0020","bread","F0020.01","A004Y#F02.A06CN$F04.A001M$F10.A07XK","bread, wheat flour, refined","","","",NA,NA,NA,NA
"CE","Cereals","2511","wheat and products","F0020","bread","F0020.02","A005E#F02.A06CN$F04.A001M$F10.A06HR","bread, wheat flour, unrefined","","","",NA,NA,NA,NA
"CE","Cereals","2511","wheat and products","F0022","pastry","F0022.01","A00BL#F02.A06DQ$F28.A07GX$F12.A008L","buns","","","",NA,NA,NA,NA
"CE","Cereals","2511","wheat and products","F0022","pastry","F0022.02","A00CM#F02.A06DT$F28.A0BA1","scones","","","",NA,NA,NA,NA
"CE","Cereals","2511","wheat and products","F0022","pastry","F0022.03","A009X#F02.A06DN","biscuits, sweet, plain","","","",NA,NA,NA,NA
"CE","Cereals","2511","wheat and products","F0022","pastry","F0022.04","A16FY#F02.A06DQ$F28.A07GR$F12.A008L","dough, sweet, fried","","","",NA,NA,NA,NA
"CE","Cereals","2511","wheat and products","F0022","pastry","F0022.05","A16FH#F04.A03YD","samosa, vegetable","","","",NA,NA,NA,NA
"CE","Cereals","2511","wheat and products","F0022","pastry","F0022.06","A16FH#F04.A01TQ","samosa, meat","","Lamb/beef","",NA,NA,NA,NA
"CE","Cereals","2511","wheat and products","F0022","pastry","F0022.07","A00BA#F04.A01LC","cake, banana","","","",NA,NA,NA,NA
"CE","Cereals","2805","rice and products","113","rice","","","","Rice, paddy: Rice grain after threshing and winnowing.Also known as rice in the husk and rough rice. Used mainly for human food.","FAOSTAT Commodity List (FCL)","",NA,NA,NA,NA
"CE","Cereals","2805","rice and products","23162","husked rice","","","","Rice, Husked: Rice grain without hulls or husks. Also known as brown or cargo rice.","FAOSTAT Commodity List (FCL)","",NA,NA,NA,NA
"CE","Cereals","2805","rice and products","23120.01","flour of rice","23120.01.01","A003F#F10.A0F2R","rice flour, white","","","",NA,NA,NA,NA
"CE","Cereals","2805","rice and products","23120.01","flour of rice","23120.01.02","A003F#F10.A0F5H","rice flour, yellow","","","",NA,NA,NA,NA
"CE","Cereals","2805","rice and products","23161.01","rice, milled (husked)","23161.01.01","A001D#F28.A07HS$F10.A0F2R","rice grain, imported, white, dried, raw","Rice, Milled (Husked): White rice milled from imported husked rice. Includes semi-milled, whole-milled and parboiled rice.","FAOSTAT Commodity List (FCL)","rice grain, white, polished, dried, raw",NA,NA,NA,NA
"CE","Cereals","2805","rice and products","23161.02","rice, milled","23161.02.01","A001D#F28.A07HS$F10.A0F2R","rice grain, local, white, dried, raw","Rice, Milled: White rice milled from locally grown paddy. Includes semi-milled, whole-milled and parboiled rice.","FAOSTAT Commodity List (FCL)","rice grain, white, polished, dried, raw",NA,NA,NA,NA
"CE","Cereals","2805","rice and products","23161.03","rice, broken","","","","Rice, Broken: Residues from the selection of whole-grain, milled rice.","FAOSTAT Commodity List (FCL)","",NA,NA,NA,NA
"CE","Cereals","2805","rice and products","23220.03","starch of rice","","","","Starch of Rice: See 0023 Rice starch is usually obtained from broken rice. Use primarily in the photographic industry to prepare ""matt"" paper.","FAOSTAT Commodity List (FCL)","",NA,NA,NA,NA
"CE","Cereals","2805","rice and products","39120.02","bran of rice [only calories]","","","","Bran of Rice: A by-product of polishing brown rice, comprising the pericarp, aleurone layer, embryo and some endosperm.","FAOSTAT Commodity List (FCL)","",NA,NA,NA,NA
"CE","Cereals","2805","rice and products","39130.01","rice, gluten [only calories]","","","","Rice, Gluten: A by-product of the industrial production of starch. Not suitable for food use.","FAOSTAT Commodity List (FCL)","",NA,NA,NA,NA
"CE","Cereals","2513","barley and products","115","barley","","","","","","",NA,NA,NA,NA
"CE","Cereals","2513","barley and products","24320","malt, whether or not roasted","","","","","","",NA,NA,NA,NA
"CE","Cereals","2513","barley and products","23120.02","barley flour and grits [only calories]","","","","","","",NA,NA,NA,NA
"CE","Cereals","2513","barley and products","23140.04","pot barley","","","","","","",NA,NA,NA,NA
"CE","Cereals","2513","barley and products","23140.05","barley, pearled","23140.05.01","A002K#F02.A066Q$F01.A059D$F27.A000P$F28.A0BZV","barley grain, pearl, dried, raw","","","",NA,NA,NA,NA
"CE","Cereals","2513","barley and products","23999.01","malt extract","","","","","","",NA,NA,NA,NA
"CE","Cereals","2513","barley and products","39120.03","bran of barley [only calories]","","","","","","",NA,NA,NA,NA
"CE","Cereals","2514","maize and products (including white maize)","112","maize (corn)","112.01","A000T#F28.A07HS$F28.A07KG$F10.A0F2R","maize, grain, white, dried, raw","","","",NA,NA,NA,NA
"CE","Cereals","2514","maize and products (including white maize)","112","maize (corn)","112.02","A000T#F28.A07HS$F28.A07KG$F10.A0F5H","maize, grain, yellow, dried, raw","","","",NA,NA,NA,NA
"CE","Cereals","2514","maize and products (including white maize)","112","maize (corn)","112.03","A00DC","popcorn","","","",NA,NA,NA,NA
"CE","Cereals","2514","maize and products (including white maize)","23120.03","flour of maize","23120.03.01","A002Q#F28.A07HS$F10.A0F2R$F10.A06HR","maize, flour, white, unrefined, non-fermented, raw","","","No code for 'non-fermented'",NA,NA,NA,NA
"CE","Cereals","2514","maize and products (including white maize)","23120.03","flour of maize","23120.03.02","A002Q#F28.A07HS$F10.A0F2R$F10.A07XK","maize, flour, white, refined, non-fermented, raw","","","No code for 'non-fermented'",NA,NA,NA,NA
"CE","Cereals","2514","maize and products (including white maize)","23140.06","germ of maize [only calories]","","","","","","",NA,NA,NA,NA
"CE","Cereals","2514","maize and products (including white maize)","23220.04","starch of maize","","","","","","",NA,NA,NA,NA
"CE","Cereals","2514","maize and products (including white maize)","39120.04","bran of maize [only calories]","39120.04.01","A002C#F27.A000T$F28.A0C0A$F28.A07HS$F03.A06JD","maize bran, flour, raw","","","",NA,NA,NA,NA
"CE","Cereals","2514","maize and products (including white maize)","39130.02","maize gluten [only calories]","","","","","","",NA,NA,NA,NA
"CE","Cereals","2514","maize and products (including white maize)","39130.04","gluten feed and meal","","","","","","",NA,NA,NA,NA
"CE","Cereals","2515","rye and products","116","rye","116.01","A001K#F28.A07HS$F10.A06HR","rye grain, unrefined, raw","","","",NA,NA,NA,NA
"CE","Cereals","2515","rye and products","23120.04","flour of rye","","","","","","",NA,NA,NA,NA
"CE","Cereals","2515","rye and products","39120.05","bran of rye [only calories]","","","","","","",NA,NA,NA,NA
"CE","Cereals","2516","oats and products","117","oats","","","","","","",NA,NA,NA,NA
"CE","Cereals","2516","oats and products","23140.07","oats, rolled","23140.07.01","A00DH#F02.A068G$F27.A000G$F28.A07LH","oats, rolled","","","",NA,NA,NA,NA
"CE","Cereals","2516","oats and products","39120.06","bran of oats [only calories]","","","","","","",NA,NA,NA,NA
"CE","Cereals","2517","millet and products","118","millet","118.01","A001B#F02.A066Q$F01.A059M$F27.A001B","millet, grain","","","",NA,NA,NA,NA
"CE","Cereals","2517","millet and products","118","millet","118.02","A000B#F02.A066Q$F01.A059N$F27.A000B","finger millet, grain","","","",NA,NA,NA,NA
"CE","Cereals","2517","millet and products","118","millet","118.03","A001A#F02.A066Q$F01.A059L$F27.A001A","millet grain, pearl, dried, raw","","","",NA,NA,NA,NA
"CE","Cereals","2517","millet and products","23120.05","flour of millet","","","","","","",NA,NA,NA,NA
"CE","Cereals","2517","millet and products","39120.07","bran of millet [only calories]","","","","","","",NA,NA,NA,NA
"CE","Cereals","2518","sorghum and products","114","sorghum","114.01","A001L#F28.A07HS","sorghum grain, average, dried, raw","","","",NA,NA,NA,NA
"CE","Cereals","2518","sorghum and products","23120.06","flour of sorghum","","","","","","",NA,NA,NA,NA
"CE","Cereals","2518","sorghum and products","39120.08","bran of sorghum [only calories]","","","","","","",NA,NA,NA,NA
"CE","Cereals","2520","cereals, other and products","1191","triticale","","","","","","",NA,NA,NA,NA
"CE","Cereals","2520","cereals, other and products","1192","buckwheat","","","","","","",NA,NA,NA,NA
"CE","Cereals","2520","cereals, other and products","1193","fonio","1193.01","A0CGK#F28.A07HS$F10.A06HR","fonio grain, black, unrefined, raw","","","",NA,NA,NA,NA
"CE","Cereals","2520","cereals, other and products","1193","fonio","1193.02","A0CGK#F28.A07HS$F10.A07XK","fonio grain, black, refined, raw","","","",NA,NA,NA,NA
"CE","Cereals","2520","cereals, other and products","1193","fonio","1193.03","A001Z#F28.A07HS$F10.A06HR","fonio grain, white, unrefined, raw","","","",NA,NA,NA,NA
"CE","Cereals","2520","cereals, other and products","1193","fonio","1193.04","A001Z#F28.A07HS$F10.A07XK","fonio grain, white, refined, dried, raw","","","",NA,NA,NA,NA
